index,feature,specificity
650,loss:cnaPANCAN316,cell_line_cna
651,loss:cnaPANCAN317,cell_line_cna
652,loss:cnaPANCAN318,cell_line_cna
653,loss:cnaPANCAN319,cell_line_cna
654,loss:cnaPANCAN320,cell_line_cna
655,loss:cnaPANCAN321,cell_line_cna
656,loss:cnaPANCAN322,cell_line_cna
657,loss:cnaPANCAN323,cell_line_cna
659,loss:cnaPANCAN325,cell_line_cna
660,loss:cnaPANCAN326 (SOX9),cell_line_cna
662,loss:cnaPANCAN328,cell_line_cna
663,loss:cnaPANCAN329 (ZNF750),cell_line_cna
664,gain:cnaPANCAN330 (RPGR),cell_line_cna
665,gain:cnaPANCAN331,cell_line_cna
666,gain:cnaPANCAN332,cell_line_cna
667,"gain:cnaPANCAN333 (F8,HCFC1,RPL10)",cell_line_cna
668,loss:cnaPANCAN334,cell_line_cna
669,loss:cnaPANCAN335,cell_line_cna
670,loss:cnaPANCAN336,cell_line_cna
671,loss:cnaPANCAN337,cell_line_cna
672,loss:cnaPANCAN338,cell_line_cna
673,loss:cnaPANCAN339 (ATRX),cell_line_cna
674,loss:cnaPANCAN340,cell_line_cna
675,loss:cnaPANCAN341,cell_line_cna
676,loss:cnaPANCAN342,cell_line_cna
677,loss:cnaPANCAN343,cell_line_cna
678,gain:cnaPANCAN344 (MYCN),cell_line_cna
679,gain:cnaPANCAN345,cell_line_cna
680,"gain:cnaPANCAN346 (BCL11A,REL,XPO1)",cell_line_cna
681,gain:cnaPANCAN347,cell_line_cna
682,gain:cnaPANCAN348,cell_line_cna
683,gain:cnaPANCAN349 (INPP4A),cell_line_cna
684,gain:cnaPANCAN350,cell_line_cna
685,gain:cnaPANCAN351 (NFE2L2),cell_line_cna
686,gain:cnaPANCAN352 (PMS1),cell_line_cna
687,loss:cnaPANCAN353,cell_line_cna
688,loss:cnaPANCAN354,cell_line_cna
689,loss:cnaPANCAN355,cell_line_cna
690,loss:cnaPANCAN356 (ERCC3),cell_line_cna
691,loss:cnaPANCAN357 (ACVR2A),cell_line_cna
692,loss:cnaPANCAN358,cell_line_cna
693,loss:cnaPANCAN359 (CUL3),cell_line_cna
694,loss:cnaPANCAN360,cell_line_cna
695,loss:cnaPANCAN361,cell_line_cna
696,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",cell_line_cna
697,gain:cnaPANCAN363 (ASXL1),cell_line_cna
698,gain:cnaPANCAN364 (STK4),cell_line_cna
699,gain:cnaPANCAN365,cell_line_cna
700,gain:cnaPANCAN366,cell_line_cna
701,"gain:cnaPANCAN367 (ARFGAP1,GNAS)",cell_line_cna
702,loss:cnaPANCAN368,cell_line_cna
703,loss:cnaPANCAN369,cell_line_cna
704,loss:cnaPANCAN370,cell_line_cna
705,loss:cnaPANCAN371,cell_line_cna
706,loss:cnaPANCAN372,cell_line_cna
707,loss:cnaPANCAN373,cell_line_cna
708,gain:cnaPANCAN374,cell_line_cna
709,gain:cnaPANCAN375,cell_line_cna
710,gain:cnaPANCAN376,cell_line_cna
711,loss:cnaPANCAN377,cell_line_cna
712,loss:cnaPANCAN378 (ZNRF3),cell_line_cna
713,loss:cnaPANCAN379,cell_line_cna
714,loss:cnaPANCAN380,cell_line_cna
715,loss:cnaPANCAN381 (ARFGAP3),cell_line_cna
716,"gain:cnaPANCAN382 (FLT3,WASF3)",cell_line_cna
717,gain:cnaPANCAN383,cell_line_cna
718,"gain:cnaPANCAN384 (ERCC5,ING1,IRS2,TFDP1)",cell_line_cna
719,"loss:cnaPANCAN385 (PABPC3,SACS,ZMYM2)",cell_line_cna
720,loss:cnaPANCAN386,cell_line_cna
721,loss:cnaPANCAN387,cell_line_cna
722,loss:cnaPANCAN388,cell_line_cna
723,loss:cnaPANCAN389 (RB1),cell_line_cna
724,loss:cnaPANCAN390,cell_line_cna
725,"loss:cnaPANCAN391 (ING1,IRS2,TFDP1)",cell_line_cna
726,gain:cnaPANCAN392 (CHD8),cell_line_cna
727,"gain:cnaPANCAN393 (FOXA1,NKX2-1,PSMA6)",cell_line_cna
728,"gain:cnaPANCAN394 (GNG2,SOS2)",cell_line_cna
729,"gain:cnaPANCAN395 (AKT1,HSP90AA1,PPP2R5C)",cell_line_cna
730,loss:cnaPANCAN396,cell_line_cna
731,loss:cnaPANCAN397,cell_line_cna
732,loss:cnaPANCAN398,cell_line_cna
733,loss:cnaPANCAN399,cell_line_cna
734,loss:cnaPANCAN400,cell_line_cna
735,loss:cnaPANCAN401,cell_line_cna
736,loss:cnaPANCAN402,cell_line_cna
737,loss:cnaPANCAN403,cell_line_cna
738,loss:cnaPANCAN404,cell_line_cna
739,loss:cnaPANCAN405,cell_line_cna
740,loss:cnaPANCAN406,cell_line_cna
741,loss:cnaPANCAN407,cell_line_cna
742,loss:cnaPANCAN408,cell_line_cna
743,loss:cnaPANCAN409,cell_line_cna
744,loss:cnaPANCAN410,cell_line_cna
745,"gain:cnaPANCAN411 (BLM,CRTC3,FANCI,IDH2,NR2F2,PCSK6)",cell_line_cna
746,loss:cnaPANCAN412,cell_line_cna
747,loss:cnaPANCAN413,cell_line_cna
748,loss:cnaPANCAN414,cell_line_cna
749,"loss:cnaPANCAN415 (B2M,BUB1B,MGA,TP53BP1)",cell_line_cna
750,loss:cnaPANCAN416,cell_line_cna
751,loss:cnaPANCAN417,cell_line_cna
752,loss:cnaPANCAN418,cell_line_cna
753,loss:cnaPANCAN419,cell_line_cna
754,loss:cnaPANCAN420,cell_line_cna
755,loss:cnaPANCAN421,cell_line_cna
756,loss:cnaPANCAN422,cell_line_cna
757,loss:cnaPANCAN423,cell_line_cna
758,loss:cnaPANCAN424,cell_line_cna
759,loss:cnaPANCAN425,cell_line_cna
761,chr1:110230238-110230614(GSTM1)_HypMET,cell_line_methylation
765,chr1:120835961-120839391(FAM72B)_HypMET,cell_line_methylation
768,chr1:143912736-143916156(FAM72D)_HypMET,cell_line_methylation
771,chr1:1476093-1476669(SSU72)_HypMET,cell_line_methylation
772,chr1:150266476-150266689(MRPS21)_HypMET,cell_line_methylation
775,chr1:171810467-171811325(DNM3)_HypMET,cell_line_methylation
778,chr1:181451311-181452049()_HypMET,cell_line_methylation
784,chr1:248020330-248021252()_HypMET,cell_line_methylation
787,chr1:40782220-40783145(COL9A2)_HypMET,cell_line_methylation
788,chr1:42127380-42128632(HIVEP3)_HypMET,cell_line_methylation
795,"chr10:102891010-102891794(TLX1NB, TLX1)_HypMET",cell_line_methylation
807,chr10:52499392-52500021(ASAH2B)_HypMET,cell_line_methylation
809,chr10:93392667-93393147(PPP1R3C)_HypMET,cell_line_methylation
812,chr11:119293320-119293943(THY1)_HypMET,cell_line_methylation
819,chr11:65408344-65408631(SIPA1)_HypMET,cell_line_methylation
826,chr11:8615397-8615889(STK33)_HypMET,cell_line_methylation
830,chr12:124246524-124247254(DNAH10)_HypMET,cell_line_methylation
832,chr12:3862068-3862606(EFCAB4B)_HypMET,cell_line_methylation
838,chr13:27131568-27132677()_HypMET,cell_line_methylation
839,chr13:28544524-28544890(CDX2)_HypMET,cell_line_methylation
844,chr13:96296143-96297059(DZIP1)_HypMET,cell_line_methylation
846,chr14:24457864-24458100(DHRS4L2)_HypMET,cell_line_methylation
847,"chr14:24803678-24804353(ADCY4, RIPK3)_HypMET",cell_line_methylation
851,chr14:70345943-70346527(SMOC1)_HypMET,cell_line_methylation
853,chr15:30685087-30685891(CHRFAM7A)_HypMET,cell_line_methylation
859,chr15:81426499-81426702(C15orf26)_HypMET,cell_line_methylation
860,chr15:93198374-93199181(FAM174B)_HypMET,cell_line_methylation
864,chr16:56659107-56659660(MT1E)_HypMET,cell_line_methylation
871,chr16:68676450-68676843(CDH3)_HypMET,cell_line_methylation
877,chr17:42092143-42092432(TMEM101)_HypMET,cell_line_methylation
879,chr17:44656490-44657494(ARL17A)_HypMET,cell_line_methylation
882,chr17:46673532-46674181(LOC404266)_HypMET,cell_line_methylation
883,chr17:46691520-46692097(HOXB8)_HypMET,cell_line_methylation
890,chr18:14132000-14132482(ZNF519)_HypMET,cell_line_methylation
893,chr18:5543437-5544241(EPB41L3)_HypMET,cell_line_methylation
897,chr18:77905297-77905566(LOC100130522)_HypMET,cell_line_methylation
906,chr19:21265164-21265433(ZNF714)_HypMET,cell_line_methylation
907,chr19:22018594-22018827(ZNF43)_HypMET,cell_line_methylation
909,"chr19:37095680-37096589(ZNF529, ZNF382)_HypMET",cell_line_methylation
912,chr19:37957726-37958390(ZNF569)_HypMET,cell_line_methylation
920,chr19:49315545-49315765(BCAT2)_HypMET,cell_line_methylation
926,chr19:53073308-53074039(ZNF701)_HypMET,cell_line_methylation
928,chr19:53662189-53662500(ZNF347)_HypMET,cell_line_methylation
932,chr19:57831599-57832250(ZNF543)_HypMET,cell_line_methylation
933,chr19:58011124-58011743(ZNF773)_HypMET,cell_line_methylation
938,chr19:58458686-58459219(ZNF256)_HypMET,cell_line_methylation
945,chr2:183731819-183732093(FRZB)_HypMET,cell_line_methylation
958,chr20:30192854-30194025(ID1)_HypMET,cell_line_methylation
962,chr20:42543097-42545137(TOX2)_HypMET,cell_line_methylation
971,chr21:47602431-47602740(C21orf56)_HypMET,cell_line_methylation
972,chr22:19746924-19747141(TBX1)_HypMET,cell_line_methylation
977,chr22:24372912-24373725(LOC391322)_HypMET,cell_line_methylation
978,chr22:24384134-24384405(GSTT1)_HypMET,cell_line_methylation
990,chr3:139258152-139258731(RBP1)_HypMET,cell_line_methylation
998,chr3:50604905-50605359(C3orf18)_HypMET,cell_line_methylation
1004,"chr3:99594969-99595215(C3orf26, FILIP1L, MIR548G)_HypMET",cell_line_methylation
1017,chr5:101632049-101632373(SLCO4C1)_HypMET,cell_line_methylation
1027,chr5:180017099-180019062(SCGB3A1)_HypMET,cell_line_methylation
1043,"chr6:26250436-26250827(HIST1H2BH, HIST1H3F)_HypMET",cell_line_methylation
1045,chr6:291948-292839(DUSP22)_HypMET,cell_line_methylation
1053,chr6:6007387-6007797(NRN1)_HypMET,cell_line_methylation
1062,chr7:27186927-27187692(HOXA6)_HypMET,cell_line_methylation
1076,chr8:11058624-11058844(XKR6)_HypMET,cell_line_methylation
1077,chr8:11059011-11059242(XKR6)_HypMET,cell_line_methylation
1079,chr8:144659745-144660635(NAPRT1)_HypMET,cell_line_methylation
1080,chr8:22422534-22423702(SORBS3)_HypMET,cell_line_methylation
1083,chr8:61626645-61627074(CHD7)_HypMET,cell_line_methylation
1084,chr8:67344497-67344989(RRS1)_HypMET,cell_line_methylation
1085,chr8:67940691-67940997(LRRC67)_HypMET,cell_line_methylation
1086,chr8:79428433-79428754(PKIA)_HypMET,cell_line_methylation
1087,chr8:95652455-95652873(ESRP1)_HypMET,cell_line_methylation
1098,O,drug
1099,3bonds,drug
1100,Br,drug
1101,atom_stereo_count,drug
1102,undefined_atom_stereo_count,drug
1103,2bonds,drug
1106,defined_atom_stereo_count,drug
1107,h_bond_acceptor_count,drug
1108,B,drug
1109,rotatable_bond_count,drug
1110,F,drug
1111,molecular_weight,drug
1112,h_bond_donor_count,drug
1113,complexity,drug
1114,surface_area,drug
1116,xlogp,drug
1117,I,drug
1118,bond_stereo_count,drug
1119,N,drug
1120,covalent_unit_count,drug
1121,Cl,drug
1122,S,drug
1123,heavy_atom_count,drug
1132,EGFR signaling,drug_pathway
1133,ERK MAPK signaling,drug_pathway
1140,PI3K/MTOR signaling,drug_pathway
